   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly |       t_libr |       t_frac |       t_poly
 3025 |      1.474591396130335 |     10.362389518580425 |     10.362389518581379 |     10.362389518586673 |   9.54e-13 |   6.25e-12 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3026 |     -0.023708193409467 |     -0.023712636363133 |     -0.023712636362133 |     -0.023712636363133 |   1.00e-12 |   0.00e+00 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3027 |     -1.311105693327670 |     -3.763780479661937 |     -3.763780479660937 |     -3.763780526424188 |   1.00e-12 |   4.68e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3028 |      1.202390886791143 |      2.590473237554197 |      2.590473237555186 |      2.590474305398927 |   9.88e-13 |   1.07e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3029 |      1.552560864114522 |     54.832124143781961 |     54.832124143782821 |     54.832124143782139 |   8.60e-13 |   1.78e-13 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3030 |     -0.186466590718524 |     -0.188658211348050 |     -0.188658211347050 |     -0.188658211262864 |   1.00e-12 |   8.52e-11 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3031 |     -0.214829938914261 |     -0.218197048823995 |     -0.218197048822995 |     -0.218197048417706 |   1.00e-12 |   4.06e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3032 |      0.741713157126707 |      0.916235930047036 |      0.916235930048035 |      0.915809599875563 |   1.00e-12 |   4.26e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3033 |      1.412380786016311 |      6.259618249712136 |      6.259618249713127 |      6.259618250265365 |   9.91e-13 |   5.53e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3034 |      0.671835523682748 |      0.795246149756309 |      0.795246149757309 |      0.795109620486599 |   1.00e-12 |   1.37e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3035 |      1.201068746043837 |      2.580313593664834 |      2.580313593665823 |      2.580314696195420 |   9.89e-13 |   1.10e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3036 |     -1.421434247042442 |     -6.645278203343208 |     -6.645278203342204 |     -6.645278203669204 |   1.00e-12 |   3.26e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3037 |     -0.081362370977128 |     -0.081542382819840 |     -0.081542382818840 |     -0.081542382819831 |   1.00e-12 |   9.20e-15 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3038 |     -0.085807175058259 |     -0.086018392876534 |     -0.086018392875534 |     -0.086018392876518 |   1.00e-12 |   1.65e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3039 |      0.527866377635425 |      0.583054494515972 |      0.583054494516972 |      0.583045635240955 |   1.00e-12 |   8.86e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3040 |     -0.088217552315191 |     -0.088447113176481 |     -0.088447113175481 |     -0.088447113176459 |   1.00e-12 |   2.24e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3041 |     -0.152708892747051 |     -0.153907128563912 |     -0.153907128562912 |     -0.153907128554488 |   1.00e-12 |   9.42e-12 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3042 |      0.177734941313116 |      0.179630427781013 |      0.179630427782013 |      0.179630427730814 |   1.00e-12 |   5.02e-11 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3043 |     -1.540180085740885 |    -32.652196829260305 |    -32.652196829259239 |    -32.652196829260376 |   1.07e-12 |   7.11e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3044 |      0.827823361577035 |      1.088665239200530 |      1.088665239201529 |      1.089180790159728 |   9.99e-13 |   5.16e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3045 |     -0.857630111245015 |     -1.156003759710548 |     -1.156003759709546 |     -1.156365999229506 |   1.00e-12 |   3.62e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3046 |      1.187852108349390 |      2.482432681372099 |      2.482432681373091 |      2.482434189536380 |   9.92e-13 |   1.51e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3047 |     -0.922404959411448 |     -1.319837173722560 |     -1.319837173721561 |     -1.319995669822662 |   9.99e-13 |   1.58e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3048 |     -0.635949074604804 |     -0.738266184141111 |     -0.738266184140112 |     -0.738193240947555 |   1.00e-12 |   7.29e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3049 |      0.400359737568955 |      0.423217325397211 |      0.423217325398211 |      0.423216923867717 |   1.00e-12 |   4.02e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3050 |      0.546612544745988 |      0.608454062399294 |      0.608454062400293 |      0.608440936626818 |   9.99e-13 |   1.31e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3051 |      0.584723102350484 |      0.661939926669399 |      0.661939926670399 |      0.661911819078875 |   1.00e-12 |   2.81e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3052 |      1.491883154132434 |     12.645840245947300 |     12.645840245948214 |     12.645840245948360 |   9.15e-13 |   1.06e-12 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3053 |     -0.576455825366184 |     -0.650114666300410 |     -0.650114666299410 |     -0.650090741951693 |   1.00e-12 |   2.39e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3054 |      1.381445044697867 |      5.217921007752651 |      5.217921007753647 |      5.217921010499882 |   9.97e-13 |   2.75e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3055 |      0.666573884358271 |      0.786692674587064 |      0.786692674588064 |      0.786567893140379 |   1.00e-12 |   1.25e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3056 |     -1.303888813301565 |     -3.657221547144691 |     -3.657221547143690 |     -3.657221606929010 |   1.00e-12 |   5.98e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3057 |     -0.052113546503143 |     -0.052160774843300 |     -0.052160774842300 |     -0.052160774843300 |   1.00e-12 |   6.94e-17 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3058 |     -1.309104418190224 |     -3.733655922673501 |     -3.733655922672502 |     -3.733655972766655 |   1.00e-12 |   5.01e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3059 |     -0.814337108639929 |     -1.059619870724863 |     -1.059619870723862 |     -1.060221558255315 |   1.00e-12 |   6.02e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3060 |     -1.129482119363284 |     -2.116908368804522 |     -2.116908368803520 |     -2.116913701330815 |   1.00e-12 |   5.33e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3061 |      0.655024093586277 |      0.768162431678445 |      0.768162431679445 |      0.768060247338343 |   1.00e-12 |   1.02e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3062 |      0.642238994358730 |      0.748029810103712 |      0.748029810104712 |      0.747948208587272 |   1.00e-12 |   8.16e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3063 |     -1.034991455235616 |     -1.684234951690258 |     -1.684234951689259 |     -1.684264681978645 |   1.00e-12 |   2.97e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3064 |      1.397196841268594 |      5.702402644299757 |      5.702402644300754 |      5.702402645558911 |   9.97e-13 |   1.26e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3065 |     -0.391233634269996 |     -0.412497724215044 |     -0.412497724214044 |     -0.412497413613680 |   1.00e-12 |   3.11e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3066 |      1.238796198195389 |      2.900558475561958 |      2.900558475562957 |      2.900558897184574 |   9.99e-13 |   4.22e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3067 |     -1.127054349753772 |     -2.103669048413706 |     -2.103669048412704 |     -2.103674647320542 |   1.00e-12 |   5.60e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3068 |      0.030815271450561 |      0.030825029021779 |      0.030825029022779 |      0.030825029021779 |   1.00e-12 |   0.00e+00 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3069 |      0.861614498139257 |      1.165355785487459 |      1.165355785488456 |      1.165700903374434 |   9.98e-13 |   3.45e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3070 |     -0.011852596007789 |     -0.011853151072473 |     -0.011853151071473 |     -0.011853151072473 |   1.00e-12 |   0.00e+00 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3071 |     -1.011236686950893 |     -1.596586488654813 |     -1.596586488653812 |     -1.596630063305114 |   1.00e-12 |   4.36e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3072 |     -0.485439988359461 |     -0.527544969994500 |     -0.527544969993500 |     -0.527541513167560 |   1.00e-12 |   3.46e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3073 |      0.451440861825672 |      0.484833380270779 |      0.484833380271778 |      0.484831846920428 |   1.00e-12 |   1.53e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3074 |      1.250880431089309 |      3.018448145762071 |      3.018448145763070 |      3.018448448420157 |   9.99e-13 |   3.03e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3075 |     -0.048008904989892 |     -0.048045823547938 |     -0.048045823546938 |     -0.048045823547938 |   1.00e-12 |   2.78e-17 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3076 |     -1.432883377168105 |     -7.204921329743455 |     -7.204921329742441 |     -7.204921329902631 |   1.01e-12 |   1.59e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3077 |     -0.066904852348942 |     -0.067004859237260 |     -0.067004859236260 |     -0.067004859237259 |   1.00e-12 |   1.07e-15 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3078 |      0.515519783000866 |      0.566628058549697 |      0.566628058550697 |      0.566621269886484 |   1.00e-12 |   6.79e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3079 |     -1.417977978461270 |     -6.492697909888677 |     -6.492697909887667 |     -6.492697910289088 |   1.01e-12 |   4.00e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3080 |      0.049671389967398 |      0.049712280852021 |      0.049712280853021 |      0.049712280852021 |   1.00e-12 |   4.16e-17 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3081 |      1.209978325767413 |      2.650150686140003 |      2.650150686141002 |      2.650151572980336 |   1.00e-12 |   8.87e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3082 |      0.180297640262915 |      0.182277041702618 |      0.182277041703618 |      0.182277041643836 |   1.00e-12 |   5.88e-11 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3083 |     -1.518837870019871 |    -19.228822529874208 |    -19.228822529873227 |    -19.228822529874254 |   9.81e-13 |   4.62e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3084 |      1.330014444984190 |      4.072563846782496 |      4.072563846783494 |      4.072563870524440 |   9.97e-13 |   2.37e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3085 |      1.428716219517622 |      6.990859079132338 |      6.990859079133329 |      6.990859079340353 |   9.90e-13 |   2.08e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3086 |      1.482647810316026 |     11.315092340974193 |     11.315092340975150 |     11.315092340977042 |   9.57e-13 |   2.85e-12 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3087 |      0.207030421141636 |      0.210039913049495 |      0.210039913050495 |      0.210039912779361 |   1.00e-12 |   2.70e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 3088 |      1.166668110252031 |      2.338262899899593 |      2.338262899900587 |      2.338265336768741 |   9.93e-13 |   2.44e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
